Metodo,n,Promedio(ms),Desviacion(ms)
Radix,500000,376.526,28.4883
Quick,500000,233.358,2.43014
Merge,500000,296.893,3.74603
Radix,1000000,1126.4,13.7299
Quick,1000000,482.616,4.22022
Merge,1000000,633.835,1.98611
Radix,10000000,20306.4,565.834
Quick,10000000,5985.82,564.244
Merge,10000000,7928.48,590.083
