Metodo,n,Promedio(ms),Desviacion(ms)
Radix,500000,1297.31,201.751
Quick,500000,382.953,4.77029
Merge,500000,571.992,31.2636
Radix,1000000,2425.62,192.855
Quick,1000000,876.365,93.9077
Merge,1000000,1263.02,84.2524
Radix,10000000,31282.2,3081.39
Quick,10000000,8810.96,93.5451
Merge,10000000,14067.1,190.494
